steps,dt,euler_terminal_rmse,milstein_terminal_rmse,euler_call_price,milstein_call_price,analytical_call_price,euler_call_abs_error,milstein_call_abs_error
4,0.25,1.5236544270020942,0.2897393015321512,10.513155258614931,10.44069609030321,10.450583572185565,0.06257168642936684,0.009887481882355331
8,0.125,1.0748446820917736,0.14683629636753445,10.532834219517577,10.495511403434957,10.450583572185565,0.08225064733201215,0.04492783124939237
16,0.0625,0.763052556160195,0.07376547693467836,10.540485536650946,10.52373831671885,10.450583572185565,0.08990196446538157,0.07315474453328541
32,0.03125,0.5382151768346188,0.03696322181197683,10.54665776111038,10.538001105344735,10.450583572185565,0.09607418892481512,0.08741753315917045
64,0.015625,0.38302852087547234,0.018479405998484674,10.548714253025741,10.54519021123139,10.450583572185565,0.09813068084017651,0.09460663904582489
128,0.0078125,0.2702591499015939,0.009261718947596326,10.55054114082474,10.5487411964602,10.450583572185565,0.09995756863917471,0.09815762427463604
