parameter,value,contract,mc_price,analytical,standard_error,absolute_error
spot,80.0,European call,1.8582031832739716,1.8594195728121825,0.004865848269482607,0.0012163895382109047
spot,80.0,Cash-or-nothing call,0.1576461999834297,0.15894350799042192,0.0009820683456985512,0.0012973080069922094
spot,85.0,European call,3.211951813616851,3.2135985531478717,0.004657141244335232,0.001646739531020902
spot,85.0,Cash-or-nothing call,0.24153639545447483,0.24141736650859835,0.0012093833635928824,0.0001190289458764815
spot,90.0,European call,5.088400491184467,5.091222078817552,0.008229255773381162,0.002821587633084377
spot,90.0,Cash-or-nothing call,0.3361296007047943,0.33593633791241334,0.0012361168505529664,0.000193262792380966
spot,95.0,European call,7.51188428240858,7.510872178352699,0.011985493231747949,0.0010121040558814798
spot,95.0,Cash-or-nothing call,0.43677712093377935,0.4352884136420628,0.0008051529713009605,0.0014887072917165733
spot,100.0,European call,10.450292723089365,10.450583572185565,0.012262185868597949,0.0002908490961992527
spot,100.0,Cash-or-nothing call,0.531050344306932,0.5323248154537634,0.0009334144675201486,0.0012744711468314351
spot,105.0,European call,13.854895783643872,13.857906267073105,0.009624836592510302,0.00301048342923238
spot,105.0,Cash-or-nothing call,0.6209869252238538,0.6213348089303509,0.0012435187872270135,0.00034788370649707634
spot,110.0,European call,17.660793186068027,17.66295374059044,0.0066711040661389465,0.0021605545224119282
spot,110.0,Cash-or-nothing call,0.6992190464036925,0.6987000510346408,0.0012259309924264542,0.0005189953690516447
spot,115.0,European call,21.787335235173934,21.79051252803113,0.004826379722476247,0.0031772928571953685
spot,115.0,Cash-or-nothing call,0.7626013832147445,0.7628920933629034,0.0010841742004099534,0.0002907101481589569
spot,120.0,European call,26.169705414015738,26.169043946847296,0.004427422893949738,0.0006614671684417317
spot,120.0,Cash-or-nothing call,0.8152706742093354,0.8140555882240235,0.0009001839022386173,0.0012150859853119478
strike,80.0,European call,24.59188599843709,24.58883544392775,0.003744171264631124,0.0030505545093397757
strike,80.0,Cash-or-nothing call,0.8535454307420512,0.8534363102820633,0.0007439110843987354,0.00010912045998789921
strike,85.0,European call,20.467628173159937,20.469287921382403,0.003805007130200871,0.0016597482224653959
strike,85.0,Cash-or-nothing call,0.7929553275757287,0.7915413165318029,0.000984329873834224,0.0014140110439258002
strike,90.0,European call,16.697578885814146,16.699448408416004,0.005516070496021278,0.0018695226018579092
strike,90.0,Cash-or-nothing call,0.7136538799873917,0.7141206407681469,0.0012023849782235748,0.0004667607807551377
strike,95.0,European call,13.343556572668106,13.346464945879582,0.008988752387341353,0.0029083732114756344
strike,95.0,Cash-or-nothing call,0.6258451172907918,0.6257187690528871,0.0012485887572044499,0.0001263482379046943
strike,100.0,European call,10.450292723089365,10.450583572185565,0.012262185868597949,0.0002908490961992527
strike,100.0,Cash-or-nothing call,0.531050344306932,0.5323248154537634,0.0009334144675201486,0.0012744711468314351
strike,105.0,European call,8.02281414638599,8.021352235143176,0.012707054874245633,0.001461911242813585
strike,105.0,Cash-or-nothing call,0.4414078542367155,0.4400141059365462,0.000761789287498624,0.0013937483001693063
strike,110.0,European call,6.037328061847561,6.040088129724239,0.009916011836244845,0.0027600678766779296
strike,110.0,Cash-or-nothing call,0.35386783197247773,0.35386095394539413,0.0012049727027647122,6.878027083601079e-06
strike,115.0,European call,4.4642498178503764,4.466579149434949,0.006618150265826839,0.0023293315845727136
strike,115.0,Cash-or-nothing call,0.27734130805879154,0.27734808208893186,0.0012530774408073373,6.774030140321852e-06
strike,120.0,European call,3.244836193712498,3.2474774165608125,0.005141374396459711,0.002641222848314584
strike,120.0,Cash-or-nothing call,0.21246131659890766,0.21226405311626584,0.0011487671678032066,0.00019726348264181848
volatility,0.1,European call,6.8036047863619356,6.804957708822144,0.0042289100240724894,0.001352922460208461
volatility,0.1,Cash-or-nothing call,0.6412019040388416,0.6407907361234322,0.001256105867283533,0.000411167915409405
volatility,0.1375,European call,8.133437436989936,8.135073782276145,0.00733451216126662,0.0016363452862080408
volatility,0.1375,Cash-or-nothing call,0.5857015506217743,0.5859189485018638,0.0011756689716562472,0.00021739788008945382
volatility,0.17500000000000002,European call,9.515010831787945,9.51609904146725,0.010346329561530294,0.0010882096793043416
volatility,0.17500000000000002,Cash-or-nothing call,0.5495157469140658,0.5503445272777062,0.001039965632348925,0.0008287803636404245
volatility,0.21250000000000002,European call,10.920763192333885,10.920347307665494,0.013186763571899345,0.0004158846683903761
volatility,0.21250000000000002,Cash-or-nothing call,0.522684570942484,0.524449527809344,0.0008734897766538356,0.001764956866859957
volatility,0.25,European call,12.338413052664338,12.335998930368717,0.015824885172370066,0.0024141222956206576
volatility,0.25,Cash-or-nothing call,0.5032277357990578,0.5040494748495968,0.0006923808789199737,0.0008217390505390609
volatility,0.28750000000000003,European call,13.760289185380703,13.757030784410901,0.018244010380948562,0.003258400969802011
volatility,0.28750000000000003,Cash-or-nothing call,0.48672465060649733,0.4870594185394195,0.000451371974002859,0.000334767932922142
volatility,0.32500000000000007,European call,15.183885095291256,15.179936568715753,0.020397229512115478,0.003948526575502598
volatility,0.32500000000000007,Cash-or-nothing call,0.472641925680696,0.47233074292953375,0.00023652635912971593,0.00031118275116226446
volatility,0.36250000000000004,European call,16.60648853338362,16.60244541529466,0.022267628505816428,0.004043118088958408
volatility,0.36250000000000004,Cash-or-nothing call,0.45945514321165704,0.45918092699582724,0.0005400509950862845,0.0002742162158297923
volatility,0.4,European call,18.0269166740078,18.02295145021668,0.02386149477285368,0.003965223791119854
volatility,0.4,Cash-or-nothing call,0.448002827304568,0.44717994965111724,0.0006928877095791036,0.0008228776534507376
rate,0.0,European call,7.966835449717948,7.965567455405804,0.012664393571950011,0.0012679943121440829
rate,0.0,Cash-or-nothing call,0.46175549012048506,0.460172162722971,0.000822758613884871,0.001583327397514045
rate,0.0125,European call,8.55481752197391,8.552606881568877,0.012998000438987006,0.0022106404050319384
rate,0.0125,Cash-or-nothing call,0.47918755519709416,0.47901786704634963,0.0005246550042319551,0.00016968815074452914
rate,0.025,European call,9.165182441330895,9.162911101086479,0.013031601148135267,0.002271340244416109
rate,0.025,Cash-or-nothing call,0.49699472026054053,0.49738125185786486,0.00042035877840247894,0.0003865315973243244
rate,0.037500000000000006,European call,9.79748156683789,9.795823432994801,0.012756950860043963,0.0016581338430885495
rate,0.037500000000000006,Cash-or-nothing call,0.5140924496217902,0.515177014701325,0.0007498875670680757,0.001084565079534805
