contract,price,standard_error,confidence_low,confidence_high,analytical,absolute_error,z_score,raw_paths,independent_samples,method,variance_reduction,control_beta,se_reduction_percent
European call,10.420541193153111,0.046769902520818175,10.328873868651858,10.512208517654365,10.450583572185565,0.030042379032453326,0.6423442729879731,100000,100000,exact,none,,0.0
European call,10.467314163207845,0.03307688091107499,10.402484667901218,10.532143658514473,10.450583572185565,0.016730591022280805,0.5058092105860856,100000,50000,exact,antithetic,,29.2774217428573
European call,10.466843964017952,0.01787504257276349,10.431809524353216,10.501878403682689,10.450583572185565,0.01626039183238781,0.9096701037883987,100000,100000,exact,control,0.6737868254847618,61.780885549618226
European call,10.440934599768212,0.008797843396070882,10.42369114357029,10.458178055966135,10.450583572185565,0.009648972417352297,1.0967429156174262,100000,50000,exact,antithetic_control,2.4974950836431082,81.1890918691678
Cash-or-nothing call,0.5303104041591481,0.0014940547780964671,0.527382110603149,0.5332386977151472,0.5323248154537634,0.002014411294615326,1.3482847644862328,100000,100000,exact,none,,0.0
Cash-or-nothing call,0.533192629315385,0.0006938323908077164,0.5318327428180946,0.5345525158126755,0.5323248154537634,0.0008678138616216025,1.2507543221084674,100000,50000,exact,antithetic,,53.560444972994325
Cash-or-nothing call,0.5315401034256002,0.000956417716910093,0.5296655591462804,0.53341464770492,0.5323248154537634,0.0007847120281632147,0.8204699832395312,100000,100000,exact,control,0.017894289036447273,35.98509700369637
Cash-or-nothing call,0.5333401146140355,0.0006705400713707462,0.5320258802239579,0.5346543490041131,0.5323248154537634,0.0010152991602720984,1.5141513589136906,100000,50000,exact,antithetic_control,-0.01396322608339307,55.11944533753559
