greek,mc_estimate,standard_error,analytical,absolute_error,z_score
delta,0.6400858523793151,0.0018237253694365382,0.6368306511756191,0.0032552012036960454,1.7849185289898
vega,38.013124598367725,0.24152474602512214,37.52403469169379,0.48908990667393226,2.0250095061607465
rho,53.46004488636463,0.14924217390128858,53.232481545376345,0.2275633409882829,1.5247924567139939
